Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
3/1/2020,Sunday,3,2020,2212965,97,984908,99,19922,113,786960,98,86790,100,55825,59,1636,52
3/2/2020,Monday,3,2020,5329915,96,2209066,99,30338,102,874619,95,321569,103,180701,66,17140,107
3/3/2020,Tuesday,3,2020,5481103,98,2228608,99,32767,110,882175,96,319727,102,190648,69,17453,109
3/4/2020,Wednesday,3,2020,5498809,99,2177165,97,34297,115,905558,98,311662,99,192689,70,17136,107
3/5/2020,Thursday,3,2020,5496453,99,2244515,100,33209,112,929298,101,307597,98,194386,70,17203,108
3/6/2020,Friday,3,2020,5189447,93,2066743,92,30970,104,945408,103,289171,92,205056,74,15285,96
3/7/2020,Saturday,3,2020,2814637,92,1249085,94,18117,107,827907,95,106058,98,75838,56,2445,48
3/8/2020,Sunday,3,2020,2120656,93,957163,96,19477,111,765083,95,81565,94,60800,64,1672,53
3/9/2020,Monday,3,2020,4973513,89,2124770,95,29609,100,860073,93,277001,88,183953,67,16122,101
3/10/2020,Tuesday,3,2020,4867818,87,2111989,94,31315,105,855585,93,259324,83,179050,65,15805,99
3/11/2020,Wednesday,3,2020,4697122,84,2112967,94,32198,108,866706,94,245798,78,175074,63,15340,96
3/12/2020,Thursday,3,2020,4149505,75,1938424,86,30814,104,881188,96,197178,63,169547,61,14169,89
3/13/2020,Friday,3,2020,3484996,63,1715737,77,26640,90,860419,93,158582,51,167176,61,11769,74
3/14/2020,Saturday,3,2020,1670665,54,993287,75,13394,79,631101,72,44885,42,39701,29,2135,42
3/15/2020,Sunday,3,2020,1157711,51,711555,72,12480,71,535987,66,33407,38,32641,35,1368,43
3/16/2020,Monday,3,2020,2178555,39,1237309,55,21145,71,708869,77,119333,38,153262,56,5741,36
3/17/2020,Tuesday,3,2020,1788786,32,1094949,49,18173,61,650444,71,83578,27,147391,53,4573,29
3/18/2020,Wednesday,3,2020,1625280,29,1059502,47,15942,54,634853,69,74883,24,146118,53,4133,26
3/19/2020,Thursday,3,2020,1422112,26,933602,42,14116,47,569696,62,59538,19,144466,52,3452,22
3/20/2020,Friday,3,2020,1309125,24,868602,39,12744,43,563261,61,50021,16,145160,53,3124,20
3/21/2020,Saturday,3,2020,619618,20,411491,31,6467,38,382992,44,12438,12,23700,17,1044,21
3/22/2020,Sunday,3,2020,408723,18,73517,7,4824,27,277050,34,8891,10,20830,22,641,20
3/23/2020,Monday,3,2020,709499,13,59321,3,9902,33,361513,39,30564,10,139285,51,1639,10
3/24/2020,Tuesday,3,2020,741587,13,60334,3,9133,31,395493,43,29785,10,139194,50,1727,11
3/25/2020,Wednesday,3,2020,690032,12,51769,2,9512,32,375767,41,26143,8,138239,50,1572,10
3/26/2020,Thursday,3,2020,680360,12,49970,2,8795,30,390117,42,23809,8,138668,50,1563,10
3/27/2020,Friday,3,2020,656817,12,45514,2,8409,28,396777,43,20355,6,138903,50,1495,9
3/28/2020,Saturday,3,2020,332393,11,19745,1,4491,27,240702,28,5279,5,19088,14,600,12
3/29/2020,Sunday,3,2020,263700,12,14307,1,3374,19,197154,24,4358,5,18152,19,419,13
3/30/2020,Monday,3,2020,545215,10,33659,2,8084,27,344689,37,19741,6,137762,50,1140,7
3/31/2020,Tuesday,3,2020,508106,9,32211,1,7672,26,337626,37,16194,5,137464,50,1043,7
4/1/2020,Wednesday,4,2020,513481,9,29373,1,8151,28,342221,36,10548,3,9300,3,720,4
4/2/2020,Thursday,4,2020,485586,9,26788,1,7077,24,339734,36,10057,3,9492,3,882,5
4/3/2020,Friday,4,2020,483357,9,24418,1,7794,27,340272,36,9657,3,9770,3,843,5
4/4/2020,Saturday,4,2020,282278,9,13168,1,4375,26,243323,27,3727,3,4451,3,425,8
4/5/2020,Sunday,4,2020,227303,9,9748,1,2763,15,209151,24,2969,3,3601,3,300,9
4/6/2020,Monday,4,2020,445454,8,22418,1,7093,25,335768,36,10127,3,9832,3,819,5
4/7/2020,Tuesday,4,2020,434986,8,21623,1,7041,24,335469,36,9312,3,9589,3,732,5
4/8/2020,Wednesday,4,2020,427485,8,20361,1,6950,24,324881,35,9039,3,9292,3,721,4
